"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","NotWorkingYears","YearsAtOtherCompanies","HazardRatio_CoxPH","Hazard_RSF_Current","Hazard_RSF_0","Hazard_RSF_1","Hazard_RSF_2","Hazard_RSF_3","Hazard_RSF_4","Hazard_RSF_5","Hazard_RSF_in_5_Years","Hazard_RSF_6"
28,TRUE,"Travel_Rarely",103,"Research & Development",24,3,"Life Sciences",1,19,3,"Male",50,2,1,"Laboratory Technician",3,"Single",2028,12947,5,TRUE,TRUE,14,3,2,80,0,6,4,3,4,2,0,3,22,2,42.9407078020224,0.0743486542222849,0.0743486542222849,0.0743486542222849,0.357510062009243,0.462983557850908,0.680273982811225,0.887281388803925,0.887281388803925,1.19569011896265
32,FALSE,"Travel_Rarely",334,"Research & Development",5,2,"Life Sciences",1,21,1,"Male",80,4,1,"Research Scientist",2,"Divorced",3298,15053,0,TRUE,TRUE,12,3,4,80,2,7,5,2,6,2,0,5,25,1,7.47546966445258,0.0127370825756508,0.0127370825756508,0.0127370825756508,0.0613714517526754,0.108432128355652,0.155436901747036,0.165296301119593,0.165296301119593,0.247751146111203
22,FALSE,"Non-Travel",1123,"Research & Development",16,2,"Medical",1,22,4,"Male",96,4,1,"Laboratory Technician",4,"Divorced",2935,7324,1,TRUE,TRUE,13,3,2,80,2,1,2,2,1,0,0,0,21,0,14.2340369995189,0.014497743799245,0.014497743799245,0.014497743799245,0.121576271578748,0.163710975568092,0.220847519579636,0.253089874446991,0.253089874446991,0.335137465744583
53,FALSE,"Travel_Rarely",1219,"Sales",2,4,"Life Sciences",1,23,1,"Female",78,2,4,"Manager",4,"Married",15427,22021,2,TRUE,FALSE,16,3,3,80,0,31,3,3,25,8,3,7,22,6,0.390938537327142,0.000384615384615385,0.000384615384615385,0.000384615384615385,0.00690619806687582,0.00690619806687582,0.00690619806687582,0.0110371504478282,0.0110371504478282,0.0116253857419458
38,FALSE,"Travel_Rarely",371,"Research & Development",2,3,"Life Sciences",1,24,4,"Male",45,3,1,"Research Scientist",4,"Single",3944,4306,5,TRUE,TRUE,11,3,3,80,0,6,3,3,3,2,1,2,32,3,22.5517159014684,0.0137594871825382,0.0137594871825382,0.0137594871825382,0.0769122496052559,0.119891159782514,0.143634522199251,0.170159334375379,0.170159334375379,0.306167727126418
24,FALSE,"Non-Travel",673,"Research & Development",11,2,"Other",1,26,1,"Female",96,4,2,"Manufacturing Director",3,"Divorced",4011,8232,0,TRUE,FALSE,18,3,4,80,1,5,5,2,4,2,1,3,19,1,0.927822851069378,0,0,0,0.0290997230016439,0.0400079183087523,0.0493508243706986,0.0629031968348358,0.0629031968348358,0.0656809746126135
36,TRUE,"Travel_Rarely",1218,"Sales",9,4,"Life Sciences",1,27,3,"Male",82,2,1,"Sales Representative",1,"Single",3407,6986,7,TRUE,FALSE,23,4,2,80,0,10,4,3,5,3,0,3,26,5,29.0558903534739,0.0203391827153484,0.0203391827153484,0.0203391827153484,0.122023649435543,0.200048917086036,0.294754170166289,0.332044213456333,0.332044213456333,0.64797897395727
34,FALSE,"Travel_Rarely",419,"Research & Development",7,4,"Life Sciences",1,28,1,"Female",53,3,3,"Research Director",2,"Single",11994,21293,0,TRUE,FALSE,11,3,3,80,0,13,4,3,12,6,2,11,21,1,0.405055988765281,0.00295788430571039,0.00295788430571039,0.00295788430571039,0.0214625095445514,0.0270029397220525,0.0315865257117497,0.0578863328877178,0.0578863328877178,0.0627799186621086
21,FALSE,"Travel_Rarely",391,"Research & Development",15,2,"Life Sciences",1,30,3,"Male",96,3,1,"Research Scientist",4,"Single",1232,19281,1,TRUE,FALSE,14,3,4,80,0,0,6,3,0,0,0,0,21,0,7.4204632142243,0.0841087863143422,0.0841087863143422,0.0841087863143422,0.572764093210748,0.573764093210748,0.57519266463932,0.59260139479805,0.59260139479805,0.649184728131383
34,TRUE,"Travel_Rarely",699,"Research & Development",6,1,"Medical",1,31,2,"Male",83,3,1,"Research Scientist",1,"Single",2960,17102,2,TRUE,FALSE,11,3,3,80,0,8,2,3,4,2,1,3,26,4,7.4204632142243,0.00268340216616079,0.00268340216616079,0.00268340216616079,0.039222809258647,0.0540313466150105,0.0546195819091281,0.139090915099502,0.139090915099502,0.172138050970167
53,FALSE,"Travel_Rarely",1282,"Research & Development",5,3,"Other",1,32,3,"Female",58,3,5,"Manager",3,"Divorced",19094,10735,4,TRUE,FALSE,11,3,4,80,1,26,3,2,14,13,4,8,27,12,0.287912433444168,0,0,0,0,0,0,0,0,0.00300799200799201
32,TRUE,"Travel_Frequently",1125,"Research & Development",16,1,"Life Sciences",1,33,2,"Female",72,1,1,"Research Scientist",1,"Single",3919,4681,1,TRUE,TRUE,22,4,2,80,0,10,5,3,10,2,6,7,22,0,22.5517159014684,0.0107708898603201,0.0107708898603201,0.0107708898603201,0.061377224804706,0.108758962832312,0.130137907058543,0.152914703361656,0.152914703361656,0.275267039750757
42,FALSE,"Travel_Rarely",691,"Sales",8,4,"Marketing",1,35,3,"Male",48,3,2,"Sales Executive",2,"Married",6825,21173,0,TRUE,FALSE,11,3,4,80,1,10,2,3,9,7,4,2,32,1,2.89663413104851,0,0,0,0.00129370629370629,0.00129370629370629,0.00176989676989677,0.00589310586214611,0.00589310586214611,0.00589310586214611
44,FALSE,"Travel_Rarely",477,"Research & Development",7,4,"Medical",1,36,1,"Female",42,2,3,"Healthcare Representative",4,"Married",10248,2094,3,TRUE,FALSE,14,3,4,80,1,24,4,3,22,6,5,17,20,2,1.15229827607796,0.000958605664488017,0.000958605664488017,0.000958605664488017,0.0231440419339592,0.0263327113965417,0.0294838657976962,0.0364578635348518,0.0364578635348518,0.0369841793243255
46,FALSE,"Travel_Rarely",705,"Sales",2,4,"Marketing",1,38,2,"Female",83,3,5,"Manager",1,"Single",18947,22822,3,TRUE,FALSE,12,3,4,80,0,22,2,2,2,2,2,1,24,20,0.757922444162784,0,0,0,0.00184313725490196,0.00184313725490196,0.00184313725490196,0.00184313725490196,0.00184313725490196,0.00275406842899103
33,FALSE,"Travel_Rarely",924,"Research & Development",2,3,"Medical",1,39,3,"Male",78,3,1,"Laboratory Technician",4,"Single",2496,6670,4,TRUE,FALSE,11,3,4,80,0,7,3,3,1,1,0,0,26,6,14.1292992528747,0.0177153067442401,0.0177153067442401,0.0177153067442401,0.0599422581021108,0.0804415130312352,0.0834817177095977,0.103053368281248,0.103053368281248,0.122001933604814
44,FALSE,"Travel_Rarely",1459,"Research & Development",10,4,"Other",1,40,4,"Male",41,3,2,"Healthcare Representative",4,"Married",6465,19121,2,TRUE,TRUE,13,3,4,80,0,9,5,4,4,2,1,3,35,5,4.01319486735381,0.00941298979859479,0.00941298979859479,0.00941298979859479,0.0228833964713648,0.0341150327857242,0.0368128349835264,0.0368128349835264,0.0368128349835264,0.0435591899357637
30,FALSE,"Travel_Rarely",125,"Research & Development",9,2,"Medical",1,41,4,"Male",83,2,1,"Laboratory Technician",3,"Single",2206,16117,1,TRUE,FALSE,13,3,1,80,0,10,5,3,10,0,1,8,20,0,14.1292992528747,0.00717648248101969,0.00717648248101969,0.00717648248101969,0.0326336660207715,0.0379807526847245,0.0415904018075315,0.0464397191568489,0.0464397191568489,0.061933156275286
39,TRUE,"Travel_Rarely",895,"Sales",5,3,"Technical Degree",1,42,4,"Male",56,3,2,"Sales Representative",4,"Married",2086,3335,3,TRUE,FALSE,14,3,3,80,1,19,6,4,1,0,0,0,20,18,13.0779942822721,0.0140360465408419,0.0140360465408419,0.0140360465408419,0.206953665894836,0.225973867915038,0.287779534470704,0.305680328121498,0.305680328121498,0.307282892224062
24,TRUE,"Travel_Rarely",813,"Research & Development",1,3,"Medical",1,45,2,"Male",61,3,1,"Research Scientist",4,"Married",2293,3020,2,TRUE,TRUE,16,3,1,80,1,6,2,2,2,0,2,0,18,4,10.1504792325033,0.0248581117283516,0.0248581117283516,0.0248581117283516,0.153731161256806,0.240167212207993,0.362684909079405,0.409699055880317,0.409699055880317,0.628960724766986
43,FALSE,"Travel_Rarely",1273,"Research & Development",2,2,"Medical",1,46,4,"Female",72,4,1,"Research Scientist",3,"Divorced",2645,21923,1,TRUE,FALSE,12,3,4,80,2,6,3,2,5,3,1,4,37,1,2.45974399005745,0.00165651589789521,0.00165651589789521,0.00165651589789521,0.0181545657948581,0.0478177553576472,0.0478177553576472,0.0494203194602114,0.0494203194602114,0.0519203194602114
50,TRUE,"Travel_Rarely",869,"Sales",3,2,"Marketing",1,47,1,"Male",86,2,1,"Sales Representative",3,"Married",2683,3810,1,TRUE,TRUE,14,3,3,80,0,3,2,3,3,2,0,2,47,0,45.5477028981913,0.0262895760459161,0.0262895760459161,0.0262895760459161,0.225696745928473,0.330342088460038,0.620525516959644,0.710196346130473,0.710196346130473,1.00677643271056
35,FALSE,"Travel_Rarely",890,"Sales",2,3,"Marketing",1,49,4,"Female",97,3,1,"Sales Representative",4,"Married",2014,9687,1,TRUE,FALSE,13,3,1,80,0,2,3,3,2,2,2,2,33,0,14.9871103079318,0.0440380682768607,0.0440380682768607,0.0440380682768607,0.237120763273393,0.285503403680802,0.35300737193477,0.377349363276761,0.377349363276761,0.516345395022793
36,FALSE,"Travel_Rarely",852,"Research & Development",5,4,"Life Sciences",1,51,2,"Female",82,2,1,"Research Scientist",1,"Married",3419,13072,9,TRUE,TRUE,14,3,4,80,1,6,3,4,1,1,0,0,30,5,10.1504792325033,0.0155736386122068,0.0155736386122068,0.0155736386122068,0.0667203684122404,0.114646481794977,0.149778451519438,0.160820751324896,0.160820751324896,0.225625052415962
33,FALSE,"Travel_Frequently",1141,"Sales",1,3,"Life Sciences",1,52,3,"Female",42,4,2,"Sales Executive",1,"Married",5376,3193,2,TRUE,FALSE,19,3,1,80,2,10,3,3,5,3,1,3,23,5,2.52764968198292,0,0,0,0.00271789949181254,0.00398826986218291,0.00457650515630055,0.00757650515630055,0.00757650515630055,0.0178897474695429
35,FALSE,"Travel_Rarely",464,"Research & Development",4,2,"Other",1,53,3,"Male",75,3,1,"Laboratory Technician",4,"Divorced",1951,10910,1,TRUE,FALSE,12,3,3,80,1,1,3,3,1,0,0,0,34,0,5.36730500869338,0.0329833329810884,0.0329833329810884,0.0329833329810884,0.14313048599434,0.144863819327674,0.152292390756245,0.159459057422912,0.159459057422912,0.181459057422912
27,FALSE,"Travel_Rarely",1240,"Research & Development",2,4,"Life Sciences",1,54,4,"Female",33,3,1,"Laboratory Technician",1,"Divorced",2341,19715,1,TRUE,FALSE,13,3,4,80,1,1,6,3,1,0,0,0,26,0,5.36730500869338,0,0,0,0.0139153898010675,0.0236314479969211,0.0302981146635878,0.0317266860921592,0.0317266860921592,0.0351552575207307
26,TRUE,"Travel_Rarely",1357,"Research & Development",25,3,"Life Sciences",1,55,1,"Male",48,1,1,"Laboratory Technician",3,"Single",2293,10558,1,TRUE,FALSE,12,3,3,80,0,1,2,2,1,0,0,1,25,0,14.1292992528747,0.0225512748689305,0.0225512748689305,0.0225512748689305,0.164237168374747,0.228148118192044,0.293869743573886,0.368317082182989,0.368317082182989,0.422725812341719
27,FALSE,"Travel_Frequently",994,"Sales",8,3,"Life Sciences",1,56,4,"Male",37,3,3,"Sales Executive",3,"Single",8726,2975,1,TRUE,FALSE,15,3,4,80,0,9,0,3,9,8,1,7,18,0,6.43556510954931,4e-04,4e-04,4e-04,0.0019948275862069,0.00395496632025867,0.00435496632025867,0.00619902912020383,0.00619902912020383,0.00619902912020383
30,FALSE,"Travel_Frequently",721,"Research & Development",1,2,"Medical",1,57,3,"Female",58,3,2,"Laboratory Technician",4,"Single",4011,10781,1,TRUE,FALSE,23,4,4,80,0,12,2,3,12,8,3,7,18,0,14.1292992528747,0.00143478260869565,0.00143478260869565,0.00143478260869565,0.00320507658487198,0.00698753486733026,0.00761253486733026,0.0153155353692438,0.0153155353692438,0.0196815484411392
41,TRUE,"Travel_Rarely",1360,"Research & Development",12,3,"Technical Degree",1,58,2,"Female",49,3,5,"Research Director",3,"Married",19545,16280,1,TRUE,FALSE,12,3,4,80,0,23,0,3,22,15,15,8,18,1,0.208929023019521,0,0,0,0.00321598793363499,0.004226088943736,0.004226088943736,0.004226088943736,0.004226088943736,0.00785745757510463
37,FALSE,"Travel_Rarely",408,"Research & Development",19,2,"Life Sciences",1,61,2,"Male",73,3,1,"Research Scientist",2,"Married",3022,10227,4,TRUE,FALSE,21,4,1,80,0,8,1,3,1,0,0,0,29,7,3.82749588378156,0.00304054502330364,0.00304054502330364,0.00304054502330364,0.0302952882502437,0.0440453387591043,0.0446335740532219,0.0969541135928017,0.0969541135928017,0.133677226264444
46,FALSE,"Travel_Frequently",1211,"Sales",5,4,"Marketing",1,62,1,"Male",98,3,2,"Sales Executive",4,"Single",5772,20445,4,TRUE,TRUE,21,4,3,80,0,14,4,3,9,6,0,8,32,5,19.5584873647446,0.0417325923763656,0.0417325923763656,0.0417325923763656,0.110375536393486,0.17633461806477,0.19774236511648,0.223228601661153,0.223228601661153,0.33584984554044
35,FALSE,"Travel_Rarely",1229,"Research & Development",8,1,"Life Sciences",1,63,4,"Male",36,4,1,"Laboratory Technician",4,"Married",2269,4892,1,TRUE,FALSE,19,3,4,80,0,1,2,3,1,0,0,1,34,0,7.28793246052755,0.00717648248101969,0.00717648248101969,0.00717648248101969,0.0326336660207715,0.0379807526847245,0.0415904018075315,0.0464397191568489,0.0464397191568489,0.061933156275286
48,TRUE,"Travel_Rarely",626,"Research & Development",1,2,"Life Sciences",1,64,1,"Male",98,2,3,"Laboratory Technician",3,"Single",5381,19294,9,TRUE,TRUE,13,3,4,80,0,23,2,3,1,0,0,0,25,22,42.9407078020224,0.0264702310098901,0.0264702310098901,0.0264702310098901,0.160278132613707,0.193555570918138,0.213955646719529,0.249608513273863,0.249608513273863,0.308778147561145
28,TRUE,"Travel_Rarely",1434,"Research & Development",5,4,"Technical Degree",1,65,3,"Male",50,3,1,"Laboratory Technician",3,"Single",3441,11179,1,TRUE,TRUE,13,3,3,80,0,2,3,2,2,2,2,2,26,0,42.9407078020224,0.015475422325876,0.015475422325876,0.015475422325876,0.168355547895167,0.272445930689935,0.380816584116316,0.458775169648431,0.458775169648431,0.672012446260708
44,FALSE,"Travel_Rarely",1488,"Sales",1,5,"Marketing",1,68,2,"Female",75,3,2,"Sales Executive",1,"Divorced",5454,4009,5,TRUE,TRUE,21,4,3,80,1,9,2,2,4,3,1,3,35,5,7.42969380975505,0.00433879305996777,0.00433879305996777,0.00433879305996777,0.0181613159027592,0.10041980591835,0.121458533530607,0.17099281969732,0.17099281969732,0.185551103518762
35,FALSE,"Non-Travel",1097,"Research & Development",11,2,"Medical",1,70,3,"Male",79,2,3,"Healthcare Representative",1,"Married",9884,8302,2,TRUE,TRUE,13,3,3,80,1,10,3,3,4,0,2,3,25,6,3.50197859697609,0.000526315789473684,0.000526315789473684,0.000526315789473684,0.00136109839816934,0.00191665395372489,0.00374293600500694,0.00489200432798831,0.00489200432798831,0.00713879845457783
26,FALSE,"Travel_Rarely",1443,"Sales",23,3,"Marketing",1,72,3,"Female",47,2,2,"Sales Executive",4,"Married",4157,21436,7,TRUE,TRUE,19,3,3,80,1,5,2,2,2,2,0,0,21,3,8.80323345161028,0.00416265278060607,0.00416265278060607,0.00416265278060607,0.00973036478373763,0.0306732619979735,0.045291990650206,0.0903086749530257,0.0903086749530257,0.0941314771508279
33,FALSE,"Travel_Frequently",515,"Research & Development",1,2,"Life Sciences",1,73,1,"Female",98,3,3,"Research Director",4,"Single",13458,15146,1,TRUE,TRUE,12,3,3,80,0,15,1,3,15,14,8,12,18,0,1.23101581654804,0.0081333390144502,0.0081333390144502,0.0081333390144502,0.0541749980510153,0.0698039903588675,0.0721933184221086,0.0794979761826487,0.0794979761826487,0.104605971515489
35,FALSE,"Travel_Frequently",853,"Sales",18,5,"Life Sciences",1,74,2,"Male",71,3,3,"Sales Executive",1,"Married",9069,11031,1,TRUE,FALSE,22,4,4,80,1,9,3,2,9,8,1,8,26,0,2.89663413104851,0,0,0,0.00289664076781548,0.00495918844134713,0.00654468627684496,0.0115911645972363,0.0115911645972363,0.0115911645972363
35,FALSE,"Travel_Rarely",1142,"Research & Development",23,4,"Medical",1,75,3,"Female",30,3,1,"Laboratory Technician",1,"Married",4014,16002,3,TRUE,TRUE,15,3,3,80,1,4,3,3,2,2,2,2,31,2,19.327521004512,0.0107993576790803,0.0107993576790803,0.0107993576790803,0.0763165028497976,0.117278292303595,0.168726452588442,0.196023802898951,0.196023802898951,0.303045323045471
31,FALSE,"Travel_Rarely",655,"Research & Development",7,4,"Life Sciences",1,76,4,"Male",48,3,2,"Laboratory Technician",4,"Divorced",5915,9528,3,TRUE,FALSE,22,4,4,80,1,10,3,2,7,7,1,7,21,3,5.36730500869338,0,0,0,0.00786681096681097,0.010115746242062,0.010115746242062,0.0139889903892192,0.0139889903892192,0.0139889903892192
37,FALSE,"Travel_Rarely",1115,"Research & Development",1,4,"Life Sciences",1,77,1,"Male",51,2,2,"Manufacturing Director",3,"Divorced",5993,2689,1,TRUE,FALSE,18,3,3,80,1,7,2,4,7,5,0,7,30,0,0.927822851069378,0.00037037037037037,0.00037037037037037,0.00037037037037037,0.0104227932245921,0.0116931635949625,0.0215567999585988,0.0286030206797421,0.0286030206797421,0.0298728619495834
32,FALSE,"Travel_Rarely",427,"Research & Development",1,3,"Medical",1,78,1,"Male",33,3,2,"Manufacturing Director",4,"Married",6162,10877,1,TRUE,TRUE,22,4,2,80,1,9,3,3,9,8,7,8,23,0,3.34106513668675,0.0043719920883714,0.0043719920883714,0.0043719920883714,0.0249062781989338,0.0584869171500029,0.0801329231758043,0.0952727432800207,0.0952727432800207,0.113930408112608
38,FALSE,"Travel_Frequently",653,"Research & Development",29,5,"Life Sciences",1,79,4,"Female",50,3,2,"Laboratory Technician",4,"Single",2406,5456,1,TRUE,FALSE,11,3,4,80,0,10,2,3,10,3,9,9,28,0,14.1292992528747,0.00295520054657986,0.00295520054657986,0.00295520054657986,0.024080420425737,0.026117457462774,0.028617457462774,0.0374111173053469,0.0374111173053469,0.039522228416458
50,FALSE,"Travel_Rarely",989,"Research & Development",7,2,"Medical",1,80,2,"Female",43,2,5,"Research Director",3,"Divorced",18740,16701,5,TRUE,TRUE,12,3,4,80,1,29,2,2,27,3,13,8,21,2,0.467626684075981,0,0,0,0.00590583490583491,0.0111129056129056,0.0157363458981106,0.0194346702345928,0.0194346702345928,0.0296086293015052
59,FALSE,"Travel_Rarely",1435,"Sales",25,3,"Life Sciences",1,81,1,"Female",99,3,3,"Sales Executive",1,"Single",7637,2354,7,TRUE,FALSE,11,3,4,80,0,28,3,2,21,16,7,9,31,7,6.43556510954931,0.0301374376022815,0.0301374376022815,0.0301374376022815,0.0585765217750689,0.090196942374272,0.124526388641799,0.195874727895711,0.195874727895711,0.244233742848766
36,FALSE,"Travel_Rarely",1223,"Research & Development",8,3,"Technical Degree",1,83,3,"Female",59,3,3,"Healthcare Representative",3,"Divorced",10096,8202,1,TRUE,FALSE,13,3,2,80,3,17,2,3,17,14,12,8,19,0,0.740525619203535,0,0,0,0.00802037941929246,0.0114629637228607,0.0179954906924587,0.0179954906924587,0.0179954906924587,0.0208960345930026
55,FALSE,"Travel_Rarely",836,"Research & Development",8,3,"Medical",1,84,4,"Female",33,3,4,"Manager",3,"Divorced",14756,19730,2,TRUE,TRUE,14,3,3,80,3,21,2,3,5,0,0,2,34,16,0.666278001226366,0,0,0,0.00355604282995587,0.00736974724148637,0.0307270597906653,0.0318416108742566,0.0318416108742566,0.0481712475968466
36,FALSE,"Travel_Frequently",1195,"Research & Development",11,3,"Life Sciences",1,85,2,"Male",95,2,2,"Manufacturing Director",2,"Single",6499,22656,1,TRUE,FALSE,13,3,3,80,0,6,3,3,6,5,0,3,30,0,2.44247097848573,0.00101010101010101,0.00101010101010101,0.00101010101010101,0.0157711519164685,0.0239653913702987,0.02761075477882,0.0383972860579984,0.0383972860579984,0.0399449051056174
45,FALSE,"Travel_Rarely",1339,"Research & Development",7,3,"Life Sciences",1,86,2,"Male",59,3,3,"Research Scientist",1,"Divorced",9724,18787,2,TRUE,FALSE,17,3,3,80,1,25,2,3,1,0,0,0,20,24,2.81881561595687,0,0,0,0.00905065414574189,0.00905065414574189,0.0122018085468963,0.0140160031242488,0.0140160031242488,0.0140160031242488
35,FALSE,"Travel_Frequently",664,"Research & Development",1,3,"Medical",1,88,2,"Male",79,3,1,"Research Scientist",1,"Married",2194,5868,4,TRUE,FALSE,13,3,4,80,1,5,2,2,3,2,1,2,30,2,3.33993466752718,0.00154679802955665,0.00154679802955665,0.00154679802955665,0.0279716531852942,0.0603830048199295,0.0603830048199295,0.0613830048199295,0.0613830048199295,0.0648830048199295
36,TRUE,"Travel_Rarely",318,"Research & Development",9,3,"Medical",1,90,4,"Male",79,2,1,"Research Scientist",3,"Married",3388,21777,0,TRUE,TRUE,17,3,1,80,1,2,0,2,1,0,0,0,34,1,10.1504792325033,0.0159526582931755,0.0159526582931755,0.0159526582931755,0.0767027280881471,0.0964126478926961,0.109559827897074,0.12473084620625,0.12473084620625,0.199917949136001
